Symbol	Bader_receptor	FANTOM5_receptor	CellTalk_receptor	Bader_ligand	FANTOM5_ligand	CellTalk_ligand
Tas2r130	1	0	0	0	0	0
Col15a1	0	0	0	1	0	0
Olfr618	1	0	0	0	0	0
Txlna	0	0	0	1	0	0
Adra1a	1	0	0	0	0	0
Adra1b	1	0	0	0	0	0
Adra1d	1	0	0	0	0	0
Cubn	1	0	0	0	1	1
Hp	0	0	0	1	1	1
Cpb2	0	0	0	1	0	0
Cpb1	0	0	0	1	0	0
Lepr	1	1	1	0	0	0
Lep	0	0	0	1	1	1
Hyal3	0	0	0	1	0	0
Lifr	1	1	1	0	0	0
Olfr502	1	0	0	0	0	0
Hc	0	0	0	1	1	1
4931414P19Rik	0	0	0	1	0	0
Gpr176	1	0	0	0	0	0
C2cd2	0	0	0	1	0	0
Emilin3	0	0	0	1	0	0
Emilin2	0	0	0	1	0	0
Emilin1	0	0	0	1	0	0
Muc2	0	0	0	1	1	0
Muc1	0	0	1	0	0	0
Fam20c	0	0	0	1	0	0
Muc6	0	0	1	1	0	0
Izumo1	1	0	0	0	0	1
Bambi	1	1	0	0	0	0
Izumo4	0	0	0	1	0	0
Fbln2	0	0	0	1	1	0
Olfr1006	1	0	0	0	0	0
Serpini2	0	0	0	1	0	0
Gsn	0	0	0	1	0	0
Olfr933	1	0	0	0	0	0
Rnase11	0	0	0	1	0	0
Rnase10	0	0	0	1	0	0
Rnase13	0	0	0	1	0	0
Rnase12	0	0	0	1	0	0
Wnt3	0	0	0	1	1	1
Wnt2	0	0	0	1	1	1
Wnt1	0	0	0	1	1	1
Wnt6	0	0	0	1	0	0
Wnt4	1	0	0	1	1	1
Rtn4rl1	1	1	1	0	0	0
F11r	1	1	0	0	0	0
Rtn4rl2	1	0	1	0	0	0
Lime1	0	0	0	1	0	0
Sod1	0	0	0	0	0	0
Gpc1	0	1	1	0	0	0
Gpc2	0	1	0	1	0	0
Gpc3	0	0	0	0	1	1
Fer	0	0	0	0	0	0
Prf1	0	0	0	1	0	0
Gpc6	0	0	1	1	0	0
Lpar2	1	1	0	0	0	0
Lpar3	1	1	0	0	0	0
Lpar1	1	1	1	0	0	0
Lpar6	1	0	0	0	0	0
Kir3dl2	1	0	0	0	0	0
Lpar4	1	1	0	0	0	0
Lpar5	1	0	0	0	0	0
Klrc1	1	1	0	0	0	0
Tgfb1	0	0	0	1	1	1
Gdf9	0	0	0	1	1	1
Ptgdr2	1	1	0	0	0	0
Vldlr	1	1	1	0	0	0
Gdf3	0	0	0	1	0	1
Gdf2	0	0	0	1	1	1
Tmprss2	1	0	0	0	0	0
Tmprss3	1	0	0	0	0	0
Gdf7	0	0	0	1	1	1
Tmprss5	1	0	0	0	0	0
Olfr1310	1	0	0	0	0	0
Ccrl2	1	1	1	0	0	0
Trhr	1	1	1	0	0	0
Col4a6	0	0	0	1	1	1
Insr	1	1	1	0	0	0
Col4a4	0	0	0	1	1	1
Col4a3	0	0	0	1	1	1
Col4a2	0	0	0	1	1	1
Col4a1	0	0	0	1	1	1
Nr1h4	1	0	0	0	0	0
Vpreb2	1	0	0	0	0	0
Nr1h2	1	0	0	0	0	0
Nr1h3	1	0	0	0	0	0
Olfr723	1	0	0	0	0	0
St3gal1	0	0	0	1	0	0
Il4i1	0	0	0	1	0	0
Ccr1	1	1	1	0	0	0
Ccr2	1	1	1	0	0	0
Ccr3	1	1	1	0	0	0
Ccr4	1	1	1	0	0	0
Ccr5	1	1	1	0	0	0
Ccr6	1	1	1	0	0	0
Ccr7	1	1	1	0	0	0
Tacstd2	1	0	0	0	0	0
Ccr9	1	1	1	0	0	0
Dpp7	0	0	0	1	0	0
Tmprss4	1	0	0	0	0	0
Chga	0	0	0	1	0	0
Chgb	0	0	0	1	0	0
Nav2	0	0	0	0	0	0
Cckar	1	1	1	0	0	0
Grin3a	1	0	0	0	0	0
Ins2	0	0	0	1	1	0
Grin3b	1	0	0	0	0	0
Pf4	0	0	0	1	1	1
Gm12407	0	0	0	1	1	0
Tgfbi	0	0	0	1	0	0
Igf2r	1	1	1	0	0	0
Prl3d3	0	0	0	0	0	1
Prl3d2	0	0	0	0	0	1
Prl3d1	0	0	0	0	0	1
Aoc1	1	0	0	0	0	0
Aoc3	1	0	0	0	0	0
Aoc2	1	0	0	0	0	0
Twsg1	0	0	0	1	0	0
Azgp1	0	0	0	1	1	0
Slc37a1	0	1	0	0	0	0
Gnrhr	1	1	1	0	0	0
Nrp1	1	1	1	0	0	0
Galnt2	0	0	0	1	0	0
Wnt3a	0	0	0	1	1	1
Olfr980	1	0	0	0	0	0
Tmprss6	0	1	0	0	0	0
Nlgn2	1	0	0	0	1	1
Olfr984	1	0	0	0	0	0
Nlgn1	1	0	0	0	1	1
